experiment,pioreactor_unit,timestamp,event_name,message,data,timestamp_localtime,hours_since_experiment_created
Long Yeast Grow,pioreactor02,2025-09-19T17:36:33.449Z,UpdatedHeaterDC,delta_dc=0.1059999999999931,"{""current_dc"": 50.68, ""delta_dc"": 0.1059999999999931, ""target_temperature"": 30.0, ""latest_temperature"": 30.03}",2025-09-19 19:36:33.449,18.289166666667
Long Yeast Grow,pioreactor02,2025-09-19T17:39:53.450Z,UpdatedHeaterDC,delta_dc=-1.086000000000007,"{""current_dc"": 49.59, ""delta_dc"": -1.086000000000007, ""target_temperature"": 30.0, ""latest_temperature"": 30.17}",2025-09-19 19:39:53.450,18.344722222222
Long Yeast Grow,pioreactor02,2025-09-19T17:43:13.449Z,UpdatedHeaterDC,delta_dc=1.0700000000000016,"{""current_dc"": 50.66, ""delta_dc"": 1.0700000000000016, ""target_temperature"": 30.0, ""latest_temperature"": 29.96}",2025-09-19 19:43:13.449,18.400277777778
Long Yeast Grow,pioreactor02,2025-09-19T17:46:33.449Z,UpdatedHeaterDC,delta_dc=-0.11199999999998482,"{""current_dc"": 50.55, ""delta_dc"": -0.11199999999998482, ""target_temperature"": 30.0, ""latest_temperature"": 29.99}",2025-09-19 19:46:33.449,18.455833333333
Long Yeast Grow,pioreactor02,2025-09-19T17:49:53.451Z,UpdatedHeaterDC,delta_dc=0.674000000000003,"{""current_dc"": 51.22, ""delta_dc"": 0.674000000000003, ""target_temperature"": 30.0, ""latest_temperature"": 29.9}",2025-09-19 19:49:53.451,18.511388888889
Long Yeast Grow,pioreactor02,2025-09-19T17:53:13.450Z,UpdatedHeaterDC,delta_dc=-0.4600000000000065,"{""current_dc"": 50.76, ""delta_dc"": -0.4600000000000065, ""target_temperature"": 30.0, ""latest_temperature"": 30.0}",2025-09-19 19:53:13.450,18.566944444444
Long Yeast Grow,pioreactor02,2025-09-19T17:56:33.450Z,UpdatedHeaterDC,delta_dc=0.504000000000002,"{""current_dc"": 51.26, ""delta_dc"": 0.504000000000002, ""target_temperature"": 30.0, ""latest_temperature"": 29.93}",2025-09-19 19:56:33.450,18.6225
Long Yeast Grow,pioreactor02,2025-09-19T17:59:53.449Z,UpdatedHeaterDC,delta_dc=0.2539999999999864,"{""current_dc"": 51.51, ""delta_dc"": 0.2539999999999864, ""target_temperature"": 30.0, ""latest_temperature"": 29.92}",2025-09-19 19:59:53.449,18.678055555556
Long Yeast Grow,pioreactor02,2025-09-19T18:03:13.449Z,UpdatedHeaterDC,delta_dc=-0.7279999999999973,"{""current_dc"": 50.78, ""delta_dc"": -0.7279999999999973, ""target_temperature"": 30.0, ""latest_temperature"": 30.05}",2025-09-19 20:03:13.449,18.733611111111
Long Yeast Grow,pioreactor02,2025-09-19T18:06:33.451Z,UpdatedHeaterDC,delta_dc=-0.0579999999999906,"{""current_dc"": 50.72, ""delta_dc"": -0.0579999999999906, ""target_temperature"": 30.0, ""latest_temperature"": 30.04}",2025-09-19 20:06:33.451,18.789166666667
Long Yeast Grow,pioreactor02,2025-09-19T18:09:53.451Z,UpdatedHeaterDC,delta_dc=0.7599999999999838,"{""current_dc"": 51.48, ""delta_dc"": 0.7599999999999838, ""target_temperature"": 30.0, ""latest_temperature"": 29.92}",2025-09-19 20:09:53.451,18.844722222222
Long Yeast Grow,pioreactor02,2025-09-19T18:13:13.454Z,UpdatedHeaterDC,delta_dc=-0.511999999999989,"{""current_dc"": 50.97, ""delta_dc"": -0.511999999999989, ""target_temperature"": 30.0, ""latest_temperature"": 30.02}",2025-09-19 20:13:13.454,18.900277777778
Long Yeast Grow,pioreactor02,2025-09-19T18:16:33.450Z,UpdatedHeaterDC,delta_dc=0.3080000000000062,"{""current_dc"": 51.28, ""delta_dc"": 0.3080000000000062, ""target_temperature"": 30.0, ""latest_temperature"": 29.97}",2025-09-19 20:16:33.450,18.955833333333
Long Yeast Grow,pioreactor02,2025-09-19T18:19:53.452Z,UpdatedHeaterDC,delta_dc=0.29399999999998555,"{""current_dc"": 51.57, ""delta_dc"": 0.29399999999998555, ""target_temperature"": 30.0, ""latest_temperature"": 29.94}",2025-09-19 20:19:53.452,19.011388888889
Long Yeast Grow,pioreactor02,2025-09-19T18:23:13.450Z,UpdatedHeaterDC,delta_dc=-0.2759999999999941,"{""current_dc"": 51.29, ""delta_dc"": -0.2759999999999941, ""target_temperature"": 30.0, ""latest_temperature"": 30.0}",2025-09-19 20:23:13.450,19.066944444444
Long Yeast Grow,pioreactor02,2025-09-19T18:26:33.452Z,UpdatedHeaterDC,delta_dc=0.3600000000000051,"{""current_dc"": 51.65, ""delta_dc"": 0.3600000000000051, ""target_temperature"": 30.0, ""latest_temperature"": 29.95}",2025-09-19 20:26:33.452,19.1225
Long Yeast Grow,pioreactor02,2025-09-19T18:29:53.454Z,UpdatedHeaterDC,delta_dc=-0.37400000000000017,"{""current_dc"": 51.28, ""delta_dc"": -0.37400000000000017, ""target_temperature"": 30.0, ""latest_temperature"": 30.02}",2025-09-19 20:29:53.454,19.178055555556
Long Yeast Grow,pioreactor02,2025-09-19T18:33:13.449Z,UpdatedHeaterDC,delta_dc=0.3080000000000062,"{""current_dc"": 51.59, ""delta_dc"": 0.3080000000000062, ""target_temperature"": 30.0, ""latest_temperature"": 29.97}",2025-09-19 20:33:13.449,19.233611111111
Long Yeast Grow,pioreactor02,2025-09-19T18:36:33.450Z,UpdatedHeaterDC,delta_dc=0.29399999999998555,"{""current_dc"": 51.88, ""delta_dc"": 0.29399999999998555, ""target_temperature"": 30.0, ""latest_temperature"": 29.94}",2025-09-19 20:36:33.450,19.289166666667
Long Yeast Grow,pioreactor02,2025-09-19T18:39:53.451Z,UpdatedHeaterDC,delta_dc=-0.7799999999999961,"{""current_dc"": 51.1, ""delta_dc"": -0.7799999999999961, ""target_temperature"": 30.0, ""latest_temperature"": 30.07}",2025-09-19 20:39:53.451,19.344722222222
Long Yeast Grow,pioreactor02,2025-09-19T18:43:13.451Z,UpdatedHeaterDC,delta_dc=-0.3259999999999976,"{""current_dc"": 50.77, ""delta_dc"": -0.3259999999999976, ""target_temperature"": 30.0, ""latest_temperature"": 30.09}",2025-09-19 20:43:13.451,19.400277777778
