experiment,pioreactor_unit,timestamp,temperature_c,timestamp_localtime,hours_since_experiment_created
Long Yeast Grow,pioreactor02,2025-09-19T05:43:13.406Z,30.22,2025-09-19 07:43:13.406,6.400277777778
Long Yeast Grow,pioreactor02,2025-09-19T05:46:33.407Z,30.22,2025-09-19 07:46:33.407,6.455833333333
Long Yeast Grow,pioreactor02,2025-09-19T05:49:53.408Z,30.25,2025-09-19 07:49:53.408,6.511388888889
Long Yeast Grow,pioreactor02,2025-09-19T05:53:13.406Z,29.76,2025-09-19 07:53:13.406,6.566944444444
Long Yeast Grow,pioreactor02,2025-09-19T05:56:33.408Z,30.16,2025-09-19 07:56:33.408,6.6225
Long Yeast Grow,pioreactor02,2025-09-19T05:59:53.406Z,30.2,2025-09-19 07:59:53.406,6.678055555556
Long Yeast Grow,pioreactor02,2025-09-19T06:03:13.406Z,30.31,2025-09-19 08:03:13.406,6.733611111111
Long Yeast Grow,pioreactor02,2025-09-19T06:06:33.409Z,29.74,2025-09-19 08:06:33.409,6.789166666667
Long Yeast Grow,pioreactor02,2025-09-19T06:09:53.407Z,30.06,2025-09-19 08:09:53.407,6.844722222222
Long Yeast Grow,pioreactor02,2025-09-19T06:13:13.406Z,29.92,2025-09-19 08:13:13.406,6.900277777778
Long Yeast Grow,pioreactor02,2025-09-19T06:16:33.406Z,29.77,2025-09-19 08:16:33.406,6.955833333333
Long Yeast Grow,pioreactor02,2025-09-19T06:19:53.406Z,29.71,2025-09-19 08:19:53.406,7.011388888889
Long Yeast Grow,pioreactor02,2025-09-19T06:23:13.406Z,29.92,2025-09-19 08:23:13.406,7.066944444444
Long Yeast Grow,pioreactor02,2025-09-19T06:26:33.408Z,29.82,2025-09-19 08:26:33.408,7.1225
Long Yeast Grow,pioreactor02,2025-09-19T06:29:53.406Z,29.88,2025-09-19 08:29:53.406,7.178055555556
Long Yeast Grow,pioreactor02,2025-09-19T06:33:13.409Z,29.95,2025-09-19 08:33:13.409,7.233611111111
Long Yeast Grow,pioreactor02,2025-09-19T06:36:33.408Z,29.94,2025-09-19 08:36:33.408,7.289166666667
Long Yeast Grow,pioreactor02,2025-09-19T06:39:53.407Z,29.79,2025-09-19 08:39:53.407,7.344722222222
Long Yeast Grow,pioreactor02,2025-09-19T06:43:13.408Z,29.79,2025-09-19 08:43:13.408,7.400277777778
Long Yeast Grow,pioreactor02,2025-09-19T06:46:33.408Z,29.87,2025-09-19 08:46:33.408,7.455833333333
Long Yeast Grow,pioreactor02,2025-09-19T06:49:53.406Z,30.05,2025-09-19 08:49:53.406,7.511388888889
Long Yeast Grow,pioreactor02,2025-09-19T06:53:13.408Z,30.06,2025-09-19 08:53:13.408,7.566944444444
Long Yeast Grow,pioreactor02,2025-09-19T06:56:33.406Z,29.93,2025-09-19 08:56:33.406,7.6225
Long Yeast Grow,pioreactor02,2025-09-19T06:59:53.407Z,30.03,2025-09-19 08:59:53.407,7.678055555556
Long Yeast Grow,pioreactor02,2025-09-19T07:03:13.406Z,29.82,2025-09-19 09:03:13.406,7.733611111111
Long Yeast Grow,pioreactor02,2025-09-19T07:06:33.407Z,29.91,2025-09-19 09:06:33.407,7.789166666667
Long Yeast Grow,pioreactor02,2025-09-19T07:09:53.407Z,30.08,2025-09-19 09:09:53.407,7.844722222222
Long Yeast Grow,pioreactor02,2025-09-19T07:13:13.408Z,30.04,2025-09-19 09:13:13.408,7.900277777778
Long Yeast Grow,pioreactor02,2025-09-19T07:16:33.408Z,29.96,2025-09-19 09:16:33.408,7.955833333333
Long Yeast Grow,pioreactor02,2025-09-19T07:19:53.408Z,30.08,2025-09-19 09:19:53.408,8.011388888889
Long Yeast Grow,pioreactor02,2025-09-19T07:23:13.412Z,29.88,2025-09-19 09:23:13.412,8.066944444444
Long Yeast Grow,pioreactor02,2025-09-19T07:26:33.408Z,29.76,2025-09-19 09:26:33.408,8.1225
Long Yeast Grow,pioreactor02,2025-09-19T07:29:53.409Z,30.05,2025-09-19 09:29:53.409,8.178055555556
Long Yeast Grow,pioreactor02,2025-09-19T07:33:13.408Z,30.03,2025-09-19 09:33:13.408,8.233611111111
