experiment,pioreactor_unit,timestamp,measured_rpm,timestamp_localtime,hours_since_experiment_created
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:46:47.862Z,514.0,2025-09-20 07:46:47.862,0.740555555556
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:47:10.862Z,504.1,2025-09-20 07:47:10.862,0.746944444444
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:47:33.862Z,510.4,2025-09-20 07:47:33.862,0.753333333333
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:47:56.862Z,481.9,2025-09-20 07:47:56.862,0.759722222222
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:48:19.862Z,503.6,2025-09-20 07:48:19.862,0.766111111111
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:48:42.862Z,487.9,2025-09-20 07:48:42.862,0.7725
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:49:05.862Z,515.0,2025-09-20 07:49:05.862,0.778888888889
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:49:28.862Z,514.7,2025-09-20 07:49:28.862,0.785277777778
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:49:51.862Z,514.4,2025-09-20 07:49:51.862,0.791666666667
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:50:14.862Z,497.1,2025-09-20 07:50:14.862,0.798055555556
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:50:37.862Z,503.7,2025-09-20 07:50:37.862,0.804444444444
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:51:00.862Z,473.4,2025-09-20 07:51:00.862,0.810833333333
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:51:23.862Z,480.0,2025-09-20 07:51:23.862,0.817222222222
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:51:46.862Z,501.5,2025-09-20 07:51:46.862,0.823611111111
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:52:09.862Z,497.4,2025-09-20 07:52:09.862,0.83
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:52:32.862Z,500.3,2025-09-20 07:52:32.862,0.836388888889
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:52:55.862Z,505.2,2025-09-20 07:52:55.862,0.842777777778
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:53:18.862Z,512.4,2025-09-20 07:53:18.862,0.849166666667
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:53:41.862Z,487.3,2025-09-20 07:53:41.862,0.855555555556
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:54:04.862Z,514.5,2025-09-20 07:54:04.862,0.861944444444
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:54:27.862Z,501.1,2025-09-20 07:54:27.862,0.868333333333
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:54:50.862Z,500.4,2025-09-20 07:54:50.862,0.874722222222
