experiment,pioreactor_unit,timestamp,message,source,level,task,timestamp_localtime,hours_since_experiment_created
Long Yeast Grow,pioreactor02,2025-09-19T02:09:53.407Z,"features={'previous_heater_dc': 75.14, 'room_temp': 22.0, 'is_rpi_zero': False, 'volume': 14.0, 'time_series_of_temp': [57.875, 54.21875, 51.53125, 49.291666666666664, 47.333333333333336, 45.645833333333336, 44.135416666666664, 42.78125, 41.59375, 40.5, 39.53125, 38.635416666666664, 37.833333333333336, 37.104166666666664, 36.4375, 35.802083333333336, 35.239583333333336, 34.708333333333336, 34.239583333333336, 33.791666666666664, 33.375]}",app,DEBUG,temperature_automation,2025-09-19 04:09:53.407,2.844722222222
Long Yeast Grow,pioreactor02,2025-09-19T02:09:53.416Z,PID output = -4.746000000000015,app,DEBUG,temperature_automation,2025-09-19 04:09:53.416,2.844722222222
Long Yeast Grow,pioreactor02,2025-09-19T02:13:13.409Z,"features={'previous_heater_dc': 70.39, 'room_temp': 22.0, 'is_rpi_zero': False, 'volume': 14.0, 'time_series_of_temp': [56.416666666666664, 52.96875, 50.447916666666664, 48.322916666666664, 46.510416666666664, 44.895833333333336, 43.489583333333336, 42.208333333333336, 41.09375, 40.0625, 39.166666666666664, 38.3125, 37.5625, 36.885416666666664, 36.25, 35.6875, 35.125, 34.635416666666664, 34.1875, 33.75, 33.375]}",app,DEBUG,temperature_automation,2025-09-19 04:13:13.409,2.900277777778
Long Yeast Grow,pioreactor02,2025-09-19T02:13:13.418Z,PID output = -6.005999999999999,app,DEBUG,temperature_automation,2025-09-19 04:13:13.418,2.900277777778
Long Yeast Grow,pioreactor02,2025-09-19T02:16:33.407Z,"features={'previous_heater_dc': 64.38, 'room_temp': 22.0, 'is_rpi_zero': False, 'volume': 14.0, 'time_series_of_temp': [54.322916666666664, 51.15625, 48.84375, 46.916666666666664, 45.229166666666664, 43.770833333333336, 42.458333333333336, 41.3125, 40.260416666666664, 39.333333333333336, 38.510416666666664, 37.729166666666664, 37.03125, 36.395833333333336, 35.802083333333336, 35.291666666666664, 34.78125, 34.322916666666664, 33.916666666666664, 33.541666666666664, 33.177083333333336]}",app,DEBUG,temperature_automation,2025-09-19 04:16:33.407,2.955833333333
Long Yeast Grow,pioreactor02,2025-09-19T02:16:33.417Z,PID output = -4.693999999999991,app,DEBUG,temperature_automation,2025-09-19 04:16:33.417,2.955833333333
Long Yeast Grow,pioreactor02,2025-09-19T02:19:53.405Z,"features={'previous_heater_dc': 59.69, 'room_temp': 22.0, 'is_rpi_zero': False, 'volume': 14.0, 'time_series_of_temp': [52.625, 49.677083333333336, 47.53125, 45.71875, 44.15625, 42.791666666666664, 41.572916666666664, 40.5, 39.53125, 38.65625, 37.854166666666664, 37.145833333333336, 36.5, 35.916666666666664, 35.375, 34.864583333333336, 34.40625, 33.979166666666664, 33.5625, 33.208333333333336, 32.875]}",app,DEBUG,temperature_automation,2025-09-19 04:19:53.405,3.011388888889
Long Yeast Grow,pioreactor02,2025-09-19T02:19:53.415Z,PID output = -5.155999999999999,app,DEBUG,temperature_automation,2025-09-19 04:19:53.415,3.011388888889
Long Yeast Grow,pioreactor02,2025-09-19T02:23:13.407Z,"features={'previous_heater_dc': 54.53, 'room_temp': 22.0, 'is_rpi_zero': False, 'volume': 14.0, 'time_series_of_temp': [50.604166666666664, 47.90625, 45.9375, 44.28125, 42.84375, 41.583333333333336, 40.46875, 39.489583333333336, 38.604166666666664, 37.8125, 37.083333333333336, 36.4375, 35.854166666666664, 35.3125, 34.802083333333336, 34.322916666666664, 33.916666666666664, 33.520833333333336, 33.166666666666664, 32.833333333333336, 32.5]}",app,DEBUG,temperature_automation,2025-09-19 04:23:13.407,3.066944444444
Long Yeast Grow,pioreactor02,2025-09-19T02:23:13.415Z,PID output = -4.563999999999995,app,DEBUG,temperature_automation,2025-09-19 04:23:13.415,3.066944444444
Long Yeast Grow,pioreactor02,2025-09-19T02:26:33.406Z,"features={'previous_heater_dc': 49.97, 'room_temp': 22.0, 'is_rpi_zero': False, 'volume': 14.0, 'time_series_of_temp': [48.770833333333336, 46.302083333333336, 44.489583333333336, 42.96875, 41.677083333333336, 40.489583333333336, 39.5, 38.5625, 37.760416666666664, 37.03125, 36.375, 35.75, 35.197916666666664, 34.71875, 34.260416666666664, 33.84375, 33.4375, 33.083333333333336, 32.75, 32.4375, 32.135416666666664]}",app,DEBUG,temperature_automation,2025-09-19 04:26:33.406,3.1225
