experiment,pioreactor_unit,timestamp,measured_rpm,timestamp_localtime,hours_since_experiment_created
Long Yeast Grow,pioreactor02,2025-09-19T02:01:43.871Z,508.9,2025-09-19 04:01:43.871,2.708611111111
Long Yeast Grow,pioreactor02,2025-09-19T02:02:06.871Z,514.1,2025-09-19 04:02:06.871,2.715
Long Yeast Grow,pioreactor02,2025-09-19T02:02:29.871Z,505.0,2025-09-19 04:02:29.871,2.721388888889
Long Yeast Grow,pioreactor02,2025-09-19T02:02:52.871Z,511.8,2025-09-19 04:02:52.871,2.727777777778
Long Yeast Grow,pioreactor02,2025-09-19T02:03:15.871Z,499.3,2025-09-19 04:03:15.871,2.734166666667
Long Yeast Grow,pioreactor02,2025-09-19T02:03:38.871Z,503.2,2025-09-19 04:03:38.871,2.740555555556
Long Yeast Grow,pioreactor02,2025-09-19T02:04:01.871Z,499.1,2025-09-19 04:04:01.871,2.746944444444
Long Yeast Grow,pioreactor02,2025-09-19T02:04:24.871Z,499.4,2025-09-19 04:04:24.871,2.753333333333
Long Yeast Grow,pioreactor02,2025-09-19T02:04:47.871Z,510.4,2025-09-19 04:04:47.871,2.759722222222
Long Yeast Grow,pioreactor02,2025-09-19T02:05:10.871Z,499.6,2025-09-19 04:05:10.871,2.766111111111
Long Yeast Grow,pioreactor02,2025-09-19T02:05:33.871Z,499.7,2025-09-19 04:05:33.871,2.7725
Long Yeast Grow,pioreactor02,2025-09-19T02:05:56.871Z,394.9,2025-09-19 04:05:56.871,2.778888888889
Long Yeast Grow,pioreactor02,2025-09-19T02:06:19.871Z,404.1,2025-09-19 04:06:19.871,2.785277777778
Long Yeast Grow,pioreactor02,2025-09-19T02:06:42.871Z,411.0,2025-09-19 04:06:42.871,2.791666666667
Long Yeast Grow,pioreactor02,2025-09-19T02:07:05.871Z,418.2,2025-09-19 04:07:05.871,2.798055555556
Long Yeast Grow,pioreactor02,2025-09-19T02:07:28.871Z,574.4,2025-09-19 04:07:28.871,2.804444444444
Long Yeast Grow,pioreactor02,2025-09-19T02:07:51.871Z,561.0,2025-09-19 04:07:51.871,2.810833333333
Long Yeast Grow,pioreactor02,2025-09-19T02:08:14.871Z,563.4,2025-09-19 04:08:14.871,2.817222222222
Long Yeast Grow,pioreactor02,2025-09-19T02:08:37.871Z,550.2,2025-09-19 04:08:37.871,2.823611111111
Long Yeast Grow,pioreactor02,2025-09-19T02:09:00.871Z,538.9,2025-09-19 04:09:00.871,2.83
Long Yeast Grow,pioreactor02,2025-09-19T02:09:23.871Z,533.2,2025-09-19 04:09:23.871,2.836388888889
Long Yeast Grow,pioreactor02,2025-09-19T02:09:46.871Z,528.7,2025-09-19 04:09:46.871,2.842777777778
Long Yeast Grow,pioreactor02,2025-09-19T02:10:09.871Z,520.0,2025-09-19 04:10:09.871,2.849166666667
Long Yeast Grow,pioreactor02,2025-09-19T02:10:32.871Z,512.0,2025-09-19 04:10:32.871,2.855555555556
Long Yeast Grow,pioreactor02,2025-09-19T02:10:55.871Z,511.3,2025-09-19 04:10:55.871,2.861944444444
Long Yeast Grow,pioreactor02,2025-09-19T02:11:18.871Z,510.8,2025-09-19 04:11:18.871,2.868333333333
Long Yeast Grow,pioreactor02,2025-09-19T02:11:41.871Z,510.7,2025-09-19 04:11:41.871,2.874722222222
Long Yeast Grow,pioreactor02,2025-09-19T02:12:04.871Z,515.1,2025-09-19 04:12:04.871,2.881111111111
Long Yeast Grow,pioreactor02,2025-09-19T02:12:27.871Z,494.3,2025-09-19 04:12:27.871,2.8875
Long Yeast Grow,pioreactor02,2025-09-19T02:12:50.871Z,494.6,2025-09-19 04:12:50.871,2.893888888889
Long Yeast Grow,pioreactor02,2025-09-19T02:13:13.871Z,498.6,2025-09-19 04:13:13.871,2.900277777778
Long Yeast Grow,pioreactor02,2025-09-19T02:13:36.871Z,499.4,2025-09-19 04:13:36.871,2.906666666667
Long Yeast Grow,pioreactor02,2025-09-19T02:13:59.871Z,487.4,2025-09-19 04:13:59.871,2.913055555556
Long Yeast Grow,pioreactor02,2025-09-19T02:14:22.871Z,503.1,2025-09-19 04:14:22.871,2.919444444444
Long Yeast Grow,pioreactor02,2025-09-19T02:14:45.871Z,506.5,2025-09-19 04:14:45.871,2.925833333333
Long Yeast Grow,pioreactor02,2025-09-19T02:15:08.871Z,488.3,2025-09-19 04:15:08.871,2.932222222222
Long Yeast Grow,pioreactor02,2025-09-19T02:15:31.871Z,492.6,2025-09-19 04:15:31.871,2.938611111111
Long Yeast Grow,pioreactor02,2025-09-19T02:15:54.871Z,473.2,2025-09-19 04:15:54.871,2.945
Long Yeast Grow,pioreactor02,2025-09-19T02:16:17.871Z,398.9,2025-09-19 04:16:17.871,2.951388888889
Long Yeast Grow,pioreactor02,2025-09-19T02:16:40.871Z,400.9,2025-09-19 04:16:40.871,2.957777777778
Long Yeast Grow,pioreactor02,2025-09-19T02:17:03.871Z,409.7,2025-09-19 04:17:03.871,2.964166666667
Long Yeast Grow,pioreactor02,2025-09-19T02:17:26.871Z,421.2,2025-09-19 04:17:26.871,2.970555555556
Long Yeast Grow,pioreactor02,2025-09-19T02:17:49.871Z,582.0,2025-09-19 04:17:49.871,2.976944444444
Long Yeast Grow,pioreactor02,2025-09-19T02:18:12.871Z,572.7,2025-09-19 04:18:12.871,2.983333333333
Long Yeast Grow,pioreactor02,2025-09-19T02:18:35.871Z,556.7,2025-09-19 04:18:35.871,2.989722222222
Long Yeast Grow,pioreactor02,2025-09-19T02:18:58.871Z,546.4,2025-09-19 04:18:58.871,2.996111111111
Long Yeast Grow,pioreactor02,2025-09-19T02:19:21.871Z,542.4,2025-09-19 04:19:21.871,3.0025
Long Yeast Grow,pioreactor02,2025-09-19T02:19:44.871Z,531.4,2025-09-19 04:19:44.871,3.008888888889
Long Yeast Grow,pioreactor02,2025-09-19T02:20:07.871Z,518.2,2025-09-19 04:20:07.871,3.015277777778
Long Yeast Grow,pioreactor02,2025-09-19T02:20:30.871Z,506.2,2025-09-19 04:20:30.871,3.021666666667
