experiment,pioreactor_unit,timestamp,event_name,message,data,timestamp_localtime,hours_since_experiment_created
Yeast Grow 4 Days,pioreactor02,2025-09-20T08:54:16.656Z,UpdatedHeaterDC,delta_dc=-0.12999999999999262,"{""current_dc"": 85.41, ""delta_dc"": -0.12999999999999262, ""target_temperature"": 32.0, ""latest_temperature"": 32.05}",2025-09-20 10:54:16.656,3.865277777778
Yeast Grow 4 Days,pioreactor02,2025-09-20T08:57:36.655Z,UpdatedHeaterDC,delta_dc=-0.20200000000002943,"{""current_dc"": 85.21, ""delta_dc"": -0.20200000000002943, ""target_temperature"": 32.0, ""latest_temperature"": 32.06}",2025-09-20 10:57:36.655,3.920833333333
Yeast Grow 4 Days,pioreactor02,2025-09-20T09:00:56.655Z,UpdatedHeaterDC,delta_dc=-2.531999999999994,"{""current_dc"": 82.68, ""delta_dc"": -2.531999999999994, ""target_temperature"": 32.0, ""latest_temperature"": 32.39}",2025-09-20 11:00:56.655,3.976388888889
Yeast Grow 4 Days,pioreactor02,2025-09-20T09:04:16.655Z,UpdatedHeaterDC,delta_dc=-0.005999999999997452,"{""current_dc"": 82.67, ""delta_dc"": -0.005999999999997452, ""target_temperature"": 32.0, ""latest_temperature"": 32.25}",2025-09-20 11:04:16.655,4.031944444444
Yeast Grow 4 Days,pioreactor02,2025-09-20T09:07:36.654Z,UpdatedHeaterDC,delta_dc=1.5819999999999905,"{""current_dc"": 84.25, ""delta_dc"": 1.5819999999999905, ""target_temperature"": 32.0, ""latest_temperature"": 31.94}",2025-09-20 11:07:36.654,4.0875
Yeast Grow 4 Days,pioreactor02,2025-09-20T09:10:56.655Z,UpdatedHeaterDC,delta_dc=-0.9960000000000042,"{""current_dc"": 83.25, ""delta_dc"": -0.9960000000000042, ""target_temperature"": 32.0, ""latest_temperature"": 32.1}",2025-09-20 11:10:56.655,4.143055555556
Yeast Grow 4 Days,pioreactor02,2025-09-20T09:14:16.655Z,UpdatedHeaterDC,delta_dc=-1.5560000000000016,"{""current_dc"": 81.69, ""delta_dc"": -1.5560000000000016, ""target_temperature"": 32.0, ""latest_temperature"": 32.28}",2025-09-20 11:14:16.655,4.198611111111
Yeast Grow 4 Days,pioreactor02,2025-09-20T09:17:36.655Z,UpdatedHeaterDC,delta_dc=0.42400000000002364,"{""current_dc"": 82.11, ""delta_dc"": 0.42400000000002364, ""target_temperature"": 32.0, ""latest_temperature"": 32.12}",2025-09-20 11:17:36.655,4.254166666667
Yeast Grow 4 Days,pioreactor02,2025-09-20T09:20:56.655Z,UpdatedHeaterDC,delta_dc=0.48000000000000254,"{""current_dc"": 82.59, ""delta_dc"": 0.48000000000000254, ""target_temperature"": 32.0, ""latest_temperature"": 32.01}",2025-09-20 11:20:56.655,4.309722222222
Yeast Grow 4 Days,pioreactor02,2025-09-20T09:24:16.655Z,UpdatedHeaterDC,delta_dc=0.4059999999999959,"{""current_dc"": 83.0, ""delta_dc"": 0.4059999999999959, ""target_temperature"": 32.0, ""latest_temperature"": 31.95}",2025-09-20 11:24:16.655,4.365277777778
Yeast Grow 4 Days,pioreactor02,2025-09-20T09:27:36.655Z,UpdatedHeaterDC,delta_dc=-0.013999999999995072,"{""current_dc"": 82.99, ""delta_dc"": -0.013999999999995072, ""target_temperature"": 32.0, ""latest_temperature"": 31.97}",2025-09-20 11:27:36.655,4.420833333333
Yeast Grow 4 Days,pioreactor02,2025-09-20T09:30:56.655Z,UpdatedHeaterDC,delta_dc=-1.0019999999999867,"{""current_dc"": 81.99, ""delta_dc"": -1.0019999999999867, ""target_temperature"": 32.0, ""latest_temperature"": 32.12}",2025-09-20 11:30:56.655,4.476388888889
Yeast Grow 4 Days,pioreactor02,2025-09-20T09:34:16.655Z,UpdatedHeaterDC,delta_dc=-0.7440000000000098,"{""current_dc"": 81.25, ""delta_dc"": -0.7440000000000098, ""target_temperature"": 32.0, ""latest_temperature"": 32.18}",2025-09-20 11:34:16.655,4.531944444444
Yeast Grow 4 Days,pioreactor02,2025-09-20T09:37:36.655Z,UpdatedHeaterDC,delta_dc=-0.9720000000000013,"{""current_dc"": 80.28, ""delta_dc"": -0.9720000000000013, ""target_temperature"": 32.0, ""latest_temperature"": 32.25}",2025-09-20 11:37:36.655,4.5875
Yeast Grow 4 Days,pioreactor02,2025-09-20T09:40:56.696Z,UpdatedHeaterDC,delta_dc=-0.21799999999998365,"{""current_dc"": 80.06, ""delta_dc"": -0.21799999999998365, ""target_temperature"": 32.0, ""latest_temperature"": 32.19}",2025-09-20 11:40:56.696,4.643055555556
Yeast Grow 4 Days,pioreactor02,2025-09-20T09:44:16.655Z,UpdatedHeaterDC,delta_dc=1.0899999999999976,"{""current_dc"": 81.15, ""delta_dc"": 1.0899999999999976, ""target_temperature"": 32.0, ""latest_temperature"": 31.97}",2025-09-20 11:44:16.655,4.698611111111
Yeast Grow 4 Days,pioreactor02,2025-09-20T09:47:36.658Z,UpdatedHeaterDC,delta_dc=-0.930000000000001,"{""current_dc"": 80.22, ""delta_dc"": -0.930000000000001, ""target_temperature"": 32.0, ""latest_temperature"": 32.11}",2025-09-20 11:47:36.658,4.754166666667
Yeast Grow 4 Days,pioreactor02,2025-09-20T09:50:56.656Z,UpdatedHeaterDC,delta_dc=0.14600000000001784,"{""current_dc"": 80.37, ""delta_dc"": 0.14600000000001784, ""target_temperature"": 32.0, ""latest_temperature"": 32.05}",2025-09-20 11:50:56.656,4.809722222222
Yeast Grow 4 Days,pioreactor02,2025-09-20T09:54:16.651Z,UpdatedHeaterDC,delta_dc=0.5179999999999808,"{""current_dc"": 80.89, ""delta_dc"": 0.5179999999999808, ""target_temperature"": 32.0, ""latest_temperature"": 31.96}",2025-09-20 11:54:16.651,4.865277777778
Yeast Grow 4 Days,pioreactor02,2025-09-20T09:57:36.654Z,UpdatedHeaterDC,delta_dc=0.8240000000000081,"{""current_dc"": 81.71, ""delta_dc"": 0.8240000000000081, ""target_temperature"": 32.0, ""latest_temperature"": 31.86}",2025-09-20 11:57:36.654,4.920833333333
Yeast Grow 4 Days,pioreactor02,2025-09-20T10:00:56.655Z,UpdatedHeaterDC,delta_dc=-0.5719999999999914,"{""current_dc"": 81.14, ""delta_dc"": -0.5719999999999914, ""target_temperature"": 32.0, ""latest_temperature"": 31.99}",2025-09-20 12:00:56.655,4.976388888889
