experiment,pioreactor_unit,timestamp,channel_1,channel_2,channel_3,channel_4,channel_5,timestamp_localtime,hours_since_experiment_created
Long Yeast Grow,pioreactor02,2025-09-19T01:55:12.915Z,21.90864,0.0,0.0,0.0,0.0,2025-09-19 03:55:12.915,2.6
Long Yeast Grow,pioreactor02,2025-09-19T01:55:35.915Z,21.78864,0.0,0.0,0.0,0.0,2025-09-19 03:55:35.915,2.606388888889
Long Yeast Grow,pioreactor02,2025-09-19T01:55:58.915Z,21.68214,0.0,0.0,0.0,0.0,2025-09-19 03:55:58.915,2.612777777778
Long Yeast Grow,pioreactor02,2025-09-19T01:56:21.915Z,21.61914,0.0,0.0,0.0,0.0,2025-09-19 03:56:21.915,2.619166666667
Long Yeast Grow,pioreactor02,2025-09-19T01:56:33.403Z,21.61914,0.0,0.0,0.0,84.06,2025-09-19 03:56:33.403,2.6225
Long Yeast Grow,pioreactor02,2025-09-19T01:56:33.447Z,21.61914,0.0,0.0,0.0,84.32,2025-09-19 03:56:33.447,2.6225
Long Yeast Grow,pioreactor02,2025-09-19T01:56:44.915Z,21.60214,0.0,0.0,0.0,84.32,2025-09-19 03:56:44.915,2.625555555556
Long Yeast Grow,pioreactor02,2025-09-19T01:57:07.915Z,21.56114,0.0,0.0,0.0,84.32,2025-09-19 03:57:07.915,2.631944444444
Long Yeast Grow,pioreactor02,2025-09-19T01:57:30.915Z,21.52964,0.0,0.0,0.0,84.32,2025-09-19 03:57:30.915,2.638333333333
Long Yeast Grow,pioreactor02,2025-09-19T01:57:53.915Z,21.53264,0.0,0.0,0.0,84.32,2025-09-19 03:57:53.915,2.644722222222
Long Yeast Grow,pioreactor02,2025-09-19T01:58:01.973Z,21.53264,0.0,0.0,0.0,0.0,2025-09-19 03:58:01.973,2.646944444444
Long Yeast Grow,pioreactor02,2025-09-19T01:58:16.915Z,21.47764,0.0,0.0,0.0,0.0,2025-09-19 03:58:16.915,2.651111111111
Long Yeast Grow,pioreactor02,2025-09-19T01:58:39.915Z,21.46264,0.0,0.0,0.0,0.0,2025-09-19 03:58:39.915,2.6575
Long Yeast Grow,pioreactor02,2025-09-19T01:59:02.915Z,21.44614,0.0,0.0,0.0,0.0,2025-09-19 03:59:02.915,2.663888888889
Long Yeast Grow,pioreactor02,2025-09-19T01:59:25.915Z,21.46614,0.0,0.0,0.0,0.0,2025-09-19 03:59:25.915,2.670277777778
Long Yeast Grow,pioreactor02,2025-09-19T01:59:48.915Z,21.46614,0.0,0.0,0.0,0.0,2025-09-19 03:59:48.915,2.676666666667
Long Yeast Grow,pioreactor02,2025-09-19T01:59:53.405Z,21.46614,0.0,0.0,0.0,84.32,2025-09-19 03:59:53.405,2.678055555556
Long Yeast Grow,pioreactor02,2025-09-19T01:59:53.448Z,21.46614,0.0,0.0,0.0,82.73,2025-09-19 03:59:53.448,2.678055555556
Long Yeast Grow,pioreactor02,2025-09-19T02:00:11.919Z,21.45314,0.0,0.0,0.0,82.73,2025-09-19 04:00:11.919,2.683055555556
Long Yeast Grow,pioreactor02,2025-09-19T02:00:34.919Z,21.45314,0.0,0.0,0.0,82.73,2025-09-19 04:00:34.919,2.689444444444
Long Yeast Grow,pioreactor02,2025-09-19T02:00:57.915Z,21.45314,0.0,0.0,0.0,82.73,2025-09-19 04:00:57.915,2.695833333333
Long Yeast Grow,pioreactor02,2025-09-19T02:01:20.915Z,21.40364,0.0,0.0,0.0,82.73,2025-09-19 04:01:20.915,2.702222222222
Long Yeast Grow,pioreactor02,2025-09-19T02:01:21.972Z,21.40364,0.0,0.0,0.0,0.0,2025-09-19 04:01:21.972,2.7025
Long Yeast Grow,pioreactor02,2025-09-19T02:01:43.915Z,21.35914,0.0,0.0,0.0,0.0,2025-09-19 04:01:43.915,2.708611111111
Long Yeast Grow,pioreactor02,2025-09-19T02:02:06.919Z,21.28864,0.0,0.0,0.0,0.0,2025-09-19 04:02:06.919,2.715
Long Yeast Grow,pioreactor02,2025-09-19T02:02:29.915Z,21.26364,0.0,0.0,0.0,0.0,2025-09-19 04:02:29.915,2.721388888889
Long Yeast Grow,pioreactor02,2025-09-19T02:02:52.915Z,21.20464,0.0,0.0,0.0,0.0,2025-09-19 04:02:52.915,2.727777777778
Long Yeast Grow,pioreactor02,2025-09-19T02:03:13.404Z,21.20464,0.0,0.0,0.0,82.73,2025-09-19 04:03:13.404,2.733611111111
Long Yeast Grow,pioreactor02,2025-09-19T02:03:13.448Z,21.20464,0.0,0.0,0.0,79.45,2025-09-19 04:03:13.448,2.733611111111
Long Yeast Grow,pioreactor02,2025-09-19T02:03:15.915Z,21.20814,0.0,0.0,0.0,79.45,2025-09-19 04:03:15.915,2.734166666667
Long Yeast Grow,pioreactor02,2025-09-19T02:03:38.915Z,21.19214,0.0,0.0,0.0,79.45,2025-09-19 04:03:38.915,2.740555555556
Long Yeast Grow,pioreactor02,2025-09-19T02:04:01.919Z,21.19664,0.0,0.0,0.0,79.45,2025-09-19 04:04:01.919,2.746944444444
Long Yeast Grow,pioreactor02,2025-09-19T02:04:24.915Z,21.19964,0.0,0.0,0.0,79.45,2025-09-19 04:04:24.915,2.753333333333
Long Yeast Grow,pioreactor02,2025-09-19T02:04:41.972Z,21.19964,0.0,0.0,0.0,0.0,2025-09-19 04:04:41.972,2.758055555556
Long Yeast Grow,pioreactor02,2025-09-19T02:04:47.915Z,21.14764,0.0,0.0,0.0,0.0,2025-09-19 04:04:47.915,2.759722222222
Long Yeast Grow,pioreactor02,2025-09-19T02:05:10.915Z,21.14964,0.0,0.0,0.0,0.0,2025-09-19 04:05:10.915,2.766111111111
Long Yeast Grow,pioreactor02,2025-09-19T02:05:33.915Z,21.15114,0.0,0.0,0.0,0.0,2025-09-19 04:05:33.915,2.7725
Long Yeast Grow,pioreactor02,2025-09-19T02:05:56.915Z,21.67664,0.0,0.0,0.0,0.0,2025-09-19 04:05:56.915,2.778888888889
Long Yeast Grow,pioreactor02,2025-09-19T02:06:19.915Z,22.15614,0.0,0.0,0.0,0.0,2025-09-19 04:06:19.915,2.785277777778
Long Yeast Grow,pioreactor02,2025-09-19T02:06:33.404Z,22.15614,0.0,0.0,0.0,79.45,2025-09-19 04:06:33.404,2.789166666667
Long Yeast Grow,pioreactor02,2025-09-19T02:06:33.448Z,22.15614,0.0,0.0,0.0,75.14,2025-09-19 04:06:33.448,2.789166666667
Long Yeast Grow,pioreactor02,2025-09-19T02:06:42.915Z,22.60114,0.0,0.0,0.0,75.14,2025-09-19 04:06:42.915,2.791666666667
Long Yeast Grow,pioreactor02,2025-09-19T02:07:05.915Z,23.01014,0.0,0.0,0.0,75.14,2025-09-19 04:07:05.915,2.798055555556
Long Yeast Grow,pioreactor02,2025-09-19T02:07:28.919Z,22.63814,0.0,0.0,0.0,75.14,2025-09-19 04:07:28.919,2.804444444444
Long Yeast Grow,pioreactor02,2025-09-19T02:07:51.915Z,22.33314,0.0,0.0,0.0,75.14,2025-09-19 04:07:51.915,2.810833333333
Long Yeast Grow,pioreactor02,2025-09-19T02:08:01.972Z,22.33314,0.0,0.0,0.0,0.0,2025-09-19 04:08:01.972,2.813611111111
Long Yeast Grow,pioreactor02,2025-09-19T02:08:14.915Z,22.01614,0.0,0.0,0.0,0.0,2025-09-19 04:08:14.915,2.817222222222
Long Yeast Grow,pioreactor02,2025-09-19T02:08:37.915Z,21.76514,0.0,0.0,0.0,0.0,2025-09-19 04:08:37.915,2.823611111111
Long Yeast Grow,pioreactor02,2025-09-19T02:09:00.915Z,21.57064,0.0,0.0,0.0,0.0,2025-09-19 04:09:00.915,2.83
Long Yeast Grow,pioreactor02,2025-09-19T02:09:23.915Z,21.40464,0.0,0.0,0.0,0.0,2025-09-19 04:09:23.915,2.836388888889
Long Yeast Grow,pioreactor02,2025-09-19T02:09:46.923Z,21.26114,0.0,0.0,0.0,0.0,2025-09-19 04:09:46.923,2.842777777778
Long Yeast Grow,pioreactor02,2025-09-19T02:09:53.405Z,21.26114,0.0,0.0,0.0,75.14,2025-09-19 04:09:53.405,2.844722222222
Long Yeast Grow,pioreactor02,2025-09-19T02:09:53.448Z,21.26114,0.0,0.0,0.0,70.39,2025-09-19 04:09:53.448,2.844722222222
Long Yeast Grow,pioreactor02,2025-09-19T02:10:09.915Z,21.16114,0.0,0.0,0.0,70.39,2025-09-19 04:10:09.915,2.849166666667
Long Yeast Grow,pioreactor02,2025-09-19T02:10:32.915Z,21.10114,0.0,0.0,0.0,70.39,2025-09-19 04:10:32.915,2.855555555556
Long Yeast Grow,pioreactor02,2025-09-19T02:10:55.915Z,21.04464,0.0,0.0,0.0,70.39,2025-09-19 04:10:55.915,2.861944444444
Long Yeast Grow,pioreactor02,2025-09-19T02:11:18.915Z,20.99064,0.0,0.0,0.0,70.39,2025-09-19 04:11:18.915,2.868333333333
Long Yeast Grow,pioreactor02,2025-09-19T02:11:21.972Z,20.99064,0.0,0.0,0.0,0.0,2025-09-19 04:11:21.972,2.869166666667
Long Yeast Grow,pioreactor02,2025-09-19T02:11:41.915Z,20.93714,0.0,0.0,0.0,0.0,2025-09-19 04:11:41.915,2.874722222222
Long Yeast Grow,pioreactor02,2025-09-19T02:12:04.915Z,20.86164,0.0,0.0,0.0,0.0,2025-09-19 04:12:04.915,2.881111111111
